,address,latitude,link,longitude,name,price,tags,isGluten
79,101 S Market St,42.359898,/restaurants/anthem/,-71.055498,Anthem,$$$$,"setTargeting('cuisine', ['american-new', 'american-traditional', 'cocktails']);",0
80,789 Adams St,42.283247,/restaurants/anthonys-at-adams-village/,-71.05595,Anthony's at Adams Village,$,"setTargeting('cuisine', ['other']);",0
81,252 Commercial St,42.364051,/restaurants/anthonys-cafe/,-71.051302,Anthony's Cafe,$,"setTargeting('cuisine', ['sandwiches', 'italian']);",0
82,93 Salem St,42.363979,/restaurants/antico-forno/,-71.05595,Antico Forno,$$$$,"setTargeting('cuisine', ['italian']);",0
83,288 Cambridge St,42.36128,/restaurants/antonios/,-71.068686,Antonio's,$$$,"setTargeting('cuisine', ['italian']);",0
84,212 Western Ave,42.36474,/restaurants/anytime-pizza/,-71.110738,Anytime Pizza,$$$,"setTargeting('cuisine', ['pizza', 'sandwiches', 'italian']);",0
85,123 Appleton St,42.3451,/restaurants/appleton-cafe/,-71.07486,Appleton Cafe,$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",0
86,39 Dalton St,42.346697,/restaurants/apropos/,-71.084995,Apropos,$$$$,"setTargeting('cuisine', ['american-traditional']);",0
87,569 Tremont St,42.343464,/restaurants/aquitaine/,-71.072559,Aquitaine,$$$$,"setTargeting('cuisine', ['french', 'bistro']);",0
88,11 Boylston St,42.326237,/restaurants/aquitaine-bis/,-71.142633,Aquitaine Bis,$$$$$,"setTargeting('cuisine', ['french', 'bistro']);",0
89,3 Battery Wharf,42.366661,/restaurants/aragosta-bar-bistro/,-71.051091,Aragosta Bar + Bistro,$$$$$,"setTargeting('cuisine', ['american-new', 'new-england', 'italian', 'bistro']);",0
90,345 Cambridge St,42.371251,/restaurants/arams-no-2-pizza-subs/,-71.081988,Aram's No 2 Pizza &amp; Subs,$$,"setTargeting('cuisine', ['pizza']);",0
91,835 Beacon St,42.347181,/restaurants/arc/,-71.103034,Arc,$$$,"setTargeting('cuisine', ['bar-food']);",0
92,101 Arch St,42.354923,/restaurants/archies-new-york-deli/,-71.058756,Archie's New York Deli,$,"setTargeting('cuisine', ['delis', 'sandwiches']);",0
93,245 Washington St,42.35772,/restaurants/archies-place/,-71.058046,Archie's Place,$$,"setTargeting('cuisine', ['diners-coffee-shops', 'greek']);",0
94,500 Technology Sq,42.363443,/restaurants/area-four/,-71.092379,Area Four,$$$,"setTargeting('cuisine', ['american-new', 'pizza', 'cafes-coffeehouses', 'bakeries']);",0
95,253 Hanover St,42.363297,/restaurants/aria-trattoria/,-71.054943,Aria Trattoria,$$$$$,"setTargeting('cuisine', ['italian']);",0
96,129 Brighton Ave,42.352978,/restaurants/ariana-restaurant/,-71.131314,Ariana Restaurant,$$$,"setTargeting('cuisine', ['afghan']);",0
97,163 Huron Ave,42.382223,/restaurants/armandos-pizza/,-71.13137,Armando's Pizza,$,"setTargeting('cuisine', ['pizza', 'sandwiches']);",0
98,40 Edwin Land Blvd,42.366889,/restaurants/artbar/,-71.07485,ArtBar,$$$$,"setTargeting('cuisine', ['american-new', 'eclectic-international', 'cocktails']);",0
99,10 Avery St,42.35315,/restaurants/artisan-bistro/,-71.063383,Artisan Bistro,$$$$,"setTargeting('cuisine', ['american-new', 'bistro']);",0
100,6 Prince St,42.364226,/restaurants/artu-2/,-71.054012,Artu,$$$$,"setTargeting('cuisine', ['italian']);",0
101,89 Charles St,42.358757,/restaurants/artu/,-71.07103,Artu,$$$$,"setTargeting('cuisine', ['italian']);",0
102,418 Market St,42.349183,/restaurants/asahi/,-71.153566,Asahi,$$$$,"setTargeting('cuisine', ['japanese', 'sushi']);",0
103,44 Harvard Ave,42.354497,/restaurants/asia-wok/,-71.132897,Asia Wok,$$,"setTargeting('cuisine', ['chinese', 'asian-fusion']);",0
104,28 Harrison Ave,42.351899,/restaurants/asian-garden-restaurant/,-71.06122,Asian Garden Restaurant,$$,"setTargeting('cuisine', ['chinese', 'noodle-shops']);",0
105,99 Cambridge St,42.382491,/restaurants/asian-house/,-71.079354,Asian House,$$$,"setTargeting('cuisine', ['asian-fusion']);",0
106,11 Belmont St,42.374958,/restaurants/asian-noodle-stix/,-71.150695,Asian Noodle Stix,$,"setTargeting('cuisine', ['chinese']);",0
107,739 Massachusetts Ave,42.366258,/restaurants/asmara/,-71.105353,Asmara,$$$,"setTargeting('cuisine', ['ethiopian', 'african']);",0
108,29 Prince St,42.364636,/restaurants/assaggio/,-71.054667,Assaggio,$$$,"setTargeting('cuisine', ['italian']);",0
109,47 Massachusetts Ave,42.349851,/restaurants/asta/,-71.089166,Asta,$$$$$,"setTargeting('cuisine', ['american-new']);",0
110,50 Hampshire St,42.367037,/restaurants/atasca/,-71.092856,Atasca,$$,"setTargeting('cuisine', ['portuguese']);",0
111,403 Washington St,42.349097,/restaurants/athans-european-bakery/,-71.154997,Athan's European Bakery,$,"setTargeting('cuisine', ['mediterranean', 'sandwiches', 'bakeries', 'cafes-coffeehouses']);",0
112,1621 Beacon St,42.339297,/restaurants/athans-european-bakery-2/,-71.135297,Athan's European Bakery,$,"setTargeting('cuisine', ['mediterranean', 'sandwiches', 'bakeries', 'cafes-coffeehouses']);",0
113,146 Northern Ave,42.350535,/restaurants/atlantic-beer-garden/,-71.043242,Atlantic Beer Garden,$$$,"setTargeting('cuisine', ['american-traditional', 'fish-chips']);",0
114,761 Boylston St,42.34913,/restaurants/atlantic-fish-company/,-71.081142,Atlantic Fish Company,$$$$,"setTargeting('cuisine', ['seafood', 'new-england']);",0
